employee_id,department,level,years_experience,age,education,salary,performance_score,remote_days_per_week,city,hire_date,attrition
EMP00033,Marketing,Senior,14,,Master,29900.0,4.14,3.0,San Francisco,2010-04-20,No
EMP00034,Legal,Senior,16,47.0,High School,100000.0,2.13,2.0,New York,2010-04-23,No
EMP00035,Marketing,Junior,15,63.0,Associate,64700.0,1.74,4.0,  new york,2010-04-26,No
EMP00036,Marketing,Mid,27,44.0,Bachelor,100400.0,1.22,,Boston,2010-04-30,Yes
EMP00037,HR,Manager,20,51.0,Bachelor,91100.0,3.29,,  new york,2010-05-03,No
EMP00038,Legal,Director,7,24.0,PhD,64200.0,3.75,5.0,San Francisco,2010-05-07,
EMP00039,Sales,Mid,9,49.0,Bachelor,73000.0,2.3,1.0,  new york,2010-05-10,No
EMP00040,Operations,Mid,9,54.0,High School,74500.0,3.45,5.0,Austin,2010-05-14,No
EMP00041,Sales,Mid,17,63.0,Associate,115200.0,1.21,2.0,san francisco,2010-05-17,No
EMP00042,Legal,Junior,9,24.0,Master,46500.0,,5.0,San Francisco,2010-05-20,No
EMP00043,Sales,Director,8,26.0,Master,64000.0,3.81,1.0,Chicago,2010-05-24,Yes
EMP00044,Legal,Junior,27,,High School,35400.0,2.47,,Chicago,2010-05-27,No
EMP00045,Operations,Director,23,63.0,Bachelor,78100.0,3.69,3.0,Austin,2010-05-31,No
EMP00046,Engineering,Director,18,22.0,Master,59400.0,4.33,5.0,  new york,2010-06-03,No
EMP00047,Operations,Junior,0,59.0,Bachelor,62400.0,4.41,4.0,Seattle,2010-06-06,No
EMP00048,Engineering,Director,3,30.0,High School,112100.0,1.69,3.0,Chicago,2010-06-10,No
EMP00049,Finance,Mid,23,26.0,Master,54400.0,2.95,1.0,Austin,2010-06-13,No
EMP00050,Engineering,Junior,2,63.0,PhD,71000.0,3.94,0.0,New York,2010-06-17,No
EMP00051,Marketing,Director,9,55.0,Associate,63500.0,4.1,5.0,Seattle,2010-06-20,No
EMP00052,Marketing,Senior,11,58.0,Bachelor,65100.0,4.14,,Chicago,2010-06-23,No
EMP00053,Operations,Junior,17,54.0,Bachelor,144300.0,1.91,,san francisco,2010-06-27,No
EMP00054,Marketing,Lead,22,46.0,Bachelor,31600.0,1.77,3.0,Austin,2010-06-30,No
EMP00055,Marketing,Junior,19,63.0,Bachelor,91100.0,3.36,5.0,Austin,2010-07-04,Yes
EMP00056,Finance,Junior,5,50.0,High School,135700.0,3.96,4.0,New York,2010-07-07,Yes
EMP00057,Marketing,Junior,20,46.0,High School,102000.0,2.28,5.0,san francisco,2010-07-11,No
EMP00058,HR,Director,1,30.0,High School,76200.0,1.42,3.0,New York,2010-07-14,No
EMP00059,HR,Junior,9,24.0,High School,45700.0,3.87,2.0,Seattle,2010-07-17,No
EMP00060,HR,Lead,1,36.0,Master,107600.0,2.2,3.0,Boston,2010-07-21,No
EMP00061,Engineering,Manager,29,25.0,High School,98400.0,1.67,1.0,Chicago,2010-07-24,No
EMP00062,Operations,Junior,8,59.0,Master,36800.0,1.59,3.0,Austin,2010-07-28,No
EMP00063,Operations,Senior,26,41.0,PhD,67000.0,2.26,,Seattle,2010-07-31,No
EMP00064,Sales,Lead,9,44.0,High School,44800.0,3.37,4.0,  new york,2010-08-03,Yes
EMP00065,Finance,Manager,1,58.0,PhD,3500.0,2.43,3.0,Seattle,2010-08-07,No
EMP00066,HR,Director,7,29.0,High School,44300.0,1.08,3.0,  new york,2010-08-10,No
EMP00067,HR,Junior,23,58.0,PhD,77600.0,1.39,4.0,New York,2010-08-14,No
EMP00068,Marketing,Manager,16,54.0,Associate,89500.0,2.16,3.0,Austin,2010-08-17,
EMP00069,HR,Senior,16,54.0,PhD,66900.0,3.64,,San Francisco,2010-08-20,Yes
EMP00070,Marketing,Lead,28,28.0,Master,109400.0,1.39,4.0,Boston,2010-08-24,No
EMP00071,Marketing,Lead,3,43.0,Bachelor,100700.0,3.24,,Boston,2010-08-27,No
EMP00072,Sales,Director,17,26.0,PhD,,1.48,,New York,2010-08-31,No
EMP00073,Engineering,Director,11,,Bachelor,68700.0,1.85,,  new york,2010-09-03,No
EMP00074,Marketing,Director,16,42.0,Associate,84600.0,1.69,1.0,Austin,2010-09-06,No
EMP00075,Marketing,Manager,8,46.0,Associate,74600.0,1.27,4.0,san francisco,2010-09-10,
EMP00076,Operations,Junior,28,38.0,Master,39400.0,3.69,1.0,Seattle,2010-09-13,No
EMP00077,Sales,Mid,18,28.0,Master,67600.0,2.85,1.0,Boston,2010-09-17,Yes
EMP00078,Marketing,Lead,13,40.0,PhD,91600.0,4.32,4.0,Seattle,2010-09-20,Yes
EMP00079,Finance,Mid,13,28.0,High School,107900.0,1.4,3.0,Chicago,2010-09-24,No
EMP00080,Engineering,Lead,29,61.0,Associate,99000.0,,5.0,San Francisco,2010-09-27,No
EMP00081,Finance,Director,16,45.0,Bachelor,83400.0,2.23,2.0,New York,2010-09-30,No
EMP00082,HR,Junior,1,32.0,High School,111400.0,4.06,5.0,  new york,2010-10-04,No
EMP00083,Engineering,Junior,7,62.0,Associate,85600.0,,,Boston,2010-10-07,No
EMP00084,HR,Lead,4,22.0,PhD,72800.0,2.63,4.0,san francisco,2010-10-11,No
EMP00085,Operations,Manager,26,53.0,Associate,,2.21,3.0,Chicago,2010-10-14,No
EMP00086,Legal,Director,6,61.0,Master,93000.0,1.32,1.0,san francisco,2010-10-17,No
EMP00087,Legal,Junior,21,23.0,Bachelor,107600.0,4.76,0.0,Chicago,2010-10-21,No
EMP00088,Legal,Junior,28,36.0,Bachelor,45300.0,3.19,2.0,San Francisco,2010-10-24,No
EMP00089,Marketing,Senior,15,42.0,Master,53500.0,4.15,5.0,New York,2010-10-28,Yes
EMP00090,Sales,Junior,15,45.0,High School,54600.0,3.63,3.0,New York,2010-10-31,No
EMP00091,Finance,Senior,16,38.0,Master,79500.0,3.06,,Seattle,2010-11-03,No
EMP00092,HR,Junior,21,30.0,Bachelor,120600.0,1.36,2.0,New York,2010-11-07,No
EMP00093,Marketing,Junior,26,,PhD,46500.0,3.57,,Chicago,2010-11-10,No
EMP00094,Legal,Manager,6,41.0,High School,97600.0,1.62,0.0,Seattle,2010-11-14,No
EMP00095,Finance,Manager,19,40.0,Associate,44900.0,2.66,0.0,New York,2010-11-17,No
EMP00096,Finance,Director,7,39.0,PhD,500000.0,3.52,0.0,  new york,2010-11-21,Yes
EMP00097,Operations,Junior,7,41.0,High School,35100.0,4.13,5.0,  new york,2010-11-24,No
EMP00098,Operations,Director,22,,Bachelor,93500.0,3.74,,San Francisco,2010-11-27,Yes
EMP00099,Legal,Director,10,61.0,Bachelor,97000.0,3.69,4.0,Chicago,2010-12-01,No
EMP00100,HR,Director,14,22.0,PhD,90500.0,1.6,2.0,Austin,2010-12-04,Yes
EMP00101,Legal,Director,17,45.0,High School,53100.0,2.38,4.0,San Francisco,2010-12-08,
EMP00102,Legal,Lead,5,,Associate,48600.0,1.17,,San Francisco,2010-12-11,No
EMP00103,Marketing,Lead,21,40.0,Associate,106800.0,,0.0,New York,2010-12-14,No
EMP00104,Sales,Junior,11,51.0,Master,101200.0,4.81,3.0,Seattle,2010-12-18,Yes
EMP00105,Legal,Lead,14,47.0,PhD,,2.06,0.0,san francisco,2010-12-21,No
EMP00106,HR,Junior,27,63.0,High School,103900.0,1.35,4.0,Seattle,2010-12-25,No
EMP00107,Finance,Manager,22,59.0,PhD,36600.0,2.9,0.0,  new york,2010-12-28,No
EMP00108,Finance,Mid,5,50.0,Associate,35900.0,4.43,,Chicago,2010-12-31,No
EMP00109,Engineering,Senior,17,34.0,High School,58200.0,3.21,0.0,New York,2011-01-04,
EMP00110,Legal,Lead,23,25.0,Bachelor,63000.0,1.19,4.0,Seattle,2011-01-07,No
EMP00111,Marketing,Lead,19,38.0,Bachelor,60300.0,4.9,4.0,  new york,2011-01-11,No
EMP00112,Engineering,Manager,8,54.0,High School,81900.0,4.31,,Boston,2011-01-14,No
EMP00113,Operations,Lead,7,26.0,PhD,102900.0,,3.0,san francisco,2011-01-18,
EMP00114,Sales,Junior,13,49.0,PhD,67700.0,4.69,4.0,Austin,2011-01-21,No
EMP00115,HR,Junior,18,45.0,Bachelor,54600.0,2.8,,Boston,2011-01-24,
EMP00116,Legal,Mid,18,38.0,Bachelor,95300.0,2.49,3.0,san francisco,2011-01-28,No
EMP00117,Finance,Mid,7,60.0,Associate,68000.0,2.84,1.0,New York,2011-01-31,Yes
EMP00118,Marketing,Mid,1,61.0,High School,77700.0,4.34,,New York,2011-02-04,No
EMP00119,Finance,Junior,24,32.0,PhD,66700.0,3.64,1.0,Seattle,2011-02-07,No
EMP00120,Legal,Director,3,33.0,Associate,83500.0,1.24,4.0,san francisco,2011-02-10,No
EMP00121,Operations,Director,5,34.0,PhD,49700.0,4.83,0.0,San Francisco,2011-02-14,No
EMP00122,Engineering,Mid,2,29.0,Bachelor,93200.0,1.59,2.0,New York,2011-02-17,No
EMP00123,Legal,Mid,2,22.0,High School,74200.0,3.98,0.0,San Francisco,2011-02-21,No
EMP00124,Engineering,Junior,18,30.0,Master,55900.0,3.54,4.0,Chicago,2011-02-24,No
EMP00125,HR,Manager,10,49.0,High School,88300.0,,3.0,  new york,2011-02-27,Yes
EMP00126,Marketing,Lead,28,23.0,Master,55900.0,1.68,,Chicago,2011-03-03,No
EMP00127,Operations,Senior,9,35.0,Associate,57000.0,4.48,0.0,san francisco,2011-03-06,No
EMP00128,Marketing,Director,11,34.0,Master,45000.0,2.68,1.0,san francisco,2011-03-10,Yes
EMP00129,HR,Director,13,23.0,Master,32400.0,3.62,5.0,Seattle,2011-03-13,No
EMP00130,Operations,Junior,29,25.0,Associate,88400.0,3.02,4.0,Chicago,2011-03-17,No
EMP00131,Operations,Junior,29,33.0,High School,104100.0,3.91,0.0,Boston,2011-03-20,Yes
EMP00132,Engineering,Senior,27,31.0,Associate,63700.0,2.92,5.0,san francisco,2011-03-23,No
EMP00133,Engineering,Senior,17,24.0,Bachelor,55000.0,2.15,0.0,Boston,2011-03-27,Yes
EMP00134,Engineering,Mid,23,25.0,Bachelor,29700.0,2.45,3.0,Boston,2011-03-30,
EMP00135,Finance,Senior,8,27.0,Master,20700.0,4.44,3.0,Seattle,2011-04-03,No
EMP00136,Sales,Lead,14,44.0,Associate,93200.0,2.87,3.0,Seattle,2011-04-06,No
EMP00137,Legal,Lead,23,26.0,Associate,25600.0,1.85,5.0,Boston,2011-04-09,Yes
EMP00138,Engineering,Director,25,24.0,Associate,46400.0,4.74,2.0,San Francisco,2011-04-13,No
EMP00139,Sales,Lead,2,31.0,High School,82100.0,4.19,5.0,Boston,2011-04-16,No
EMP00140,Sales,Lead,22,64.0,PhD,77200.0,1.22,4.0,San Francisco,2011-04-20,No
EMP00141,Marketing,Lead,10,40.0,PhD,83100.0,,4.0,Chicago,2011-04-23,No
EMP00142,HR,Mid,9,35.0,PhD,75200.0,3.78,1.0,San Francisco,2011-04-26,No
EMP00143,Finance,Director,17,42.0,High School,66100.0,1.64,1.0,san francisco,2011-04-30,No
EMP00144,Sales,Junior,3,64.0,Associate,46600.0,1.95,4.0,New York,2011-05-03,No
EMP00145,Legal,Director,27,49.0,PhD,59100.0,3.77,0.0,Austin,2011-05-07,No
EMP00146,Finance,Director,12,42.0,Associate,67800.0,4.12,4.0,New York,2011-05-10,No
EMP00147,Marketing,Director,29,57.0,Master,27700.0,1.96,,New York,2011-05-13,No
EMP00148,Engineering,Senior,28,45.0,PhD,55300.0,2.03,2.0,Seattle,2011-05-17,No
EMP00149,Operations,Junior,5,59.0,Master,65700.0,2.23,1.0,Austin,2011-05-20,No
EMP00150,Sales,Senior,26,38.0,High School,57800.0,3.39,1.0,Seattle,2011-05-24,No
EMP00151,HR,Mid,20,43.0,Bachelor,66400.0,1.69,,San Francisco,2011-05-27,No
EMP00152,Operations,Mid,12,40.0,High School,91700.0,1.42,,Boston,2011-05-31,No
EMP00153,Marketing,Manager,24,31.0,High School,94800.0,3.72,5.0,  new york,2011-06-03,
EMP00154,Finance,Manager,25,32.0,High School,112800.0,4.12,,  new york,2011-06-06,No
EMP00155,Legal,Mid,19,59.0,PhD,37300.0,3.0,1.0,  new york,2011-06-10,No
EMP00156,Engineering,Mid,4,23.0,Master,64500.0,2.46,4.0,San Francisco,2011-06-13,No
EMP00157,Finance,Senior,19,,PhD,105700.0,2.73,1.0,Austin,2011-06-17,No
EMP00158,HR,Mid,13,64.0,Bachelor,31400.0,2.55,,Chicago,2011-06-20,No
EMP00159,Sales,Junior,12,52.0,High School,45600.0,4.84,,San Francisco,2011-06-23,No
EMP00160,HR,Senior,13,56.0,Associate,59600.0,4.07,,New York,2011-06-27,No
EMP00161,Finance,Mid,7,58.0,Bachelor,126100.0,1.83,1.0,Austin,2011-06-30,No
EMP00162,Finance,Senior,15,57.0,Master,50600.0,2.54,,Austin,2011-07-04,Yes
EMP00163,Operations,Senior,12,44.0,Bachelor,102100.0,3.18,5.0,San Francisco,2011-07-07,No
EMP00164,HR,Lead,23,57.0,PhD,74300.0,3.45,4.0,San Francisco,2011-07-10,No
EMP00165,HR,Manager,14,61.0,Associate,46300.0,2.87,0.0,Seattle,2011-07-14,No
EMP00166,HR,Senior,18,60.0,PhD,145000.0,4.24,,Seattle,2011-07-17,No
EMP00167,Engineering,Director,0,47.0,High School,79900.0,4.07,1.0,New York,2011-07-21,Yes
EMP00168,Legal,Senior,21,46.0,High School,84400.0,,1.0,san francisco,2011-07-24,No
EMP00169,Finance,Director,1,38.0,Bachelor,88400.0,4.42,,Austin,2011-07-28,No
EMP00170,Marketing,Lead,17,36.0,High School,86400.0,,1.0,  new york,2011-07-31,No
EMP00171,Engineering,Mid,18,58.0,High School,128800.0,4.11,,Chicago,2011-08-03,No
EMP00172,Engineering,Senior,7,25.0,Master,119600.0,4.83,2.0,Chicago,2011-08-07,No
EMP00173,Engineering,Lead,2,43.0,Master,51700.0,2.07,4.0,Austin,2011-08-10,No
EMP00174,Operations,Junior,22,38.0,PhD,125500.0,2.07,,New York,2011-08-14,No
EMP00175,Legal,Lead,25,43.0,PhD,57500.0,4.56,1.0,  new york,2011-08-17,No
EMP00176,Legal,Manager,13,38.0,Master,83100.0,,2.0,Seattle,2011-08-20,No
EMP00177,Marketing,Manager,25,35.0,Bachelor,38700.0,4.71,0.0,Seattle,2011-08-24,No
EMP00178,HR,Mid,8,35.0,Master,100900.0,1.25,0.0,Seattle,2011-08-27,No
EMP00179,Operations,Director,28,38.0,PhD,67300.0,3.51,5.0,Chicago,2011-08-31,No
EMP00180,Finance,Mid,7,29.0,Associate,46300.0,1.58,,Chicago,2011-09-03,No
EMP00181,Sales,Director,16,55.0,High School,104700.0,3.02,5.0,New York,2011-09-06,
EMP00182,Operations,Director,22,47.0,Associate,110900.0,1.62,5.0,Chicago,2011-09-10,No
EMP00183,Sales,Director,22,51.0,Associate,111800.0,1.51,2.0,San Francisco,2011-09-13,No
EMP00184,Finance,Director,23,43.0,High School,36900.0,1.05,0.0,Chicago,2011-09-17,
EMP00185,Marketing,Manager,15,,Master,114300.0,,5.0,Seattle,2011-09-20,No
EMP00186,Legal,Manager,9,51.0,Bachelor,67500.0,2.44,3.0,New York,2011-09-24,Yes
EMP00187,Sales,Senior,20,37.0,Associate,126300.0,1.42,5.0,Austin,2011-09-27,No
EMP00188,Engineering,Manager,9,59.0,Bachelor,90600.0,,0.0,Austin,2011-09-30,No
EMP00189,Operations,Mid,24,45.0,PhD,81300.0,1.68,3.0,New York,2011-10-04,
EMP00190,Sales,Manager,24,57.0,Associate,75200.0,4.77,2.0,San Francisco,2011-10-07,Yes
EMP00191,Finance,Mid,23,56.0,PhD,74700.0,,,Austin,2011-10-11,No
EMP00192,Legal,Junior,5,27.0,Master,58000.0,2.34,,Seattle,2011-10-14,No
EMP00193,Engineering,Manager,21,,Associate,48300.0,4.36,3.0,Austin,2011-10-17,No
EMP00194,Sales,Mid,16,39.0,PhD,65900.0,3.59,0.0,Austin,2011-10-21,No
EMP00195,Legal,Director,28,27.0,PhD,104800.0,3.84,1.0,Seattle,2011-10-24,No
EMP00196,Finance,Lead,15,47.0,Master,40100.0,3.54,3.0,Chicago,2011-10-28,No
EMP00197,Marketing,Director,14,58.0,Bachelor,108500.0,4.78,0.0,San Francisco,2011-10-31,
EMP00198,Finance,Senior,21,48.0,Bachelor,78600.0,1.83,5.0,  new york,2011-11-03,No
EMP00199,Marketing,Mid,13,62.0,Associate,94500.0,4.96,1.0,Seattle,2011-11-07,No
EMP00200,Legal,Director,3,32.0,Master,,4.32,2.0,Seattle,2011-11-10,No
EMP00201,Legal,Manager,3,59.0,Associate,98200.0,3.36,,Boston,2011-11-14,No
EMP00202,Engineering,Manager,29,37.0,Bachelor,75600.0,3.65,2.0,New York,2011-11-17,No
EMP00203,Finance,Junior,1,40.0,Master,76300.0,3.6,4.0,san francisco,2011-11-21,No
EMP00204,HR,Lead,28,64.0,High School,5000.0,1.23,2.0,San Francisco,2011-11-24,No
EMP00205,Operations,Mid,10,36.0,Master,49000.0,1.87,4.0,Chicago,2011-11-27,No
EMP00206,HR,Director,29,47.0,Master,45100.0,4.85,2.0,Boston,2011-12-01,Yes
EMP00207,HR,Lead,3,62.0,High School,63400.0,3.14,2.0,  new york,2011-12-04,No
EMP00208,HR,Junior,20,52.0,PhD,82200.0,2.51,2.0,Seattle,2011-12-08,No
EMP00209,Operations,Senior,28,40.0,PhD,123000.0,4.05,4.0,  new york,2011-12-11,No
EMP00210,HR,Lead,27,45.0,PhD,76200.0,3.1,5.0,  new york,2011-12-14,No
EMP00211,Marketing,Junior,20,30.0,Bachelor,125000.0,1.05,4.0,  new york,2011-12-18,No
EMP00212,Finance,Mid,15,44.0,Master,87900.0,3.94,3.0,Boston,2011-12-21,Yes
EMP00213,Legal,Senior,20,25.0,High School,63700.0,3.93,0.0,san francisco,2011-12-25,No
EMP00214,Engineering,Manager,3,31.0,Bachelor,103700.0,1.66,0.0,Chicago,2011-12-28,No
EMP00215,HR,Junior,0,30.0,High School,68900.0,4.83,5.0,Boston,2011-12-31,Yes
EMP00216,Legal,Manager,29,40.0,Bachelor,81300.0,1.9,0.0,Boston,2012-01-04,No
EMP00217,HR,Senior,25,36.0,Bachelor,41600.0,2.83,2.0,san francisco,2012-01-07,No
EMP00218,Engineering,Junior,23,55.0,Bachelor,37300.0,,5.0,Boston,2012-01-11,No
EMP00219,Engineering,Junior,18,63.0,High School,88800.0,3.41,0.0,Seattle,2012-01-14,No
EMP00220,HR,Senior,1,40.0,Associate,102600.0,2.5,4.0,Seattle,2012-01-17,No
EMP00221,Marketing,Mid,8,42.0,Bachelor,123600.0,2.41,3.0,New York,2012-01-21,Yes
EMP00222,Legal,Junior,22,55.0,PhD,54800.0,4.31,1.0,Austin,2012-01-24,Yes
EMP00223,Engineering,Senior,24,38.0,Master,111600.0,1.04,3.0,San Francisco,2012-01-28,No
EMP00224,Finance,Lead,12,39.0,Associate,107900.0,4.19,0.0,New York,2012-01-31,Yes
EMP00225,Legal,Manager,17,38.0,Associate,62700.0,3.29,5.0,Chicago,2012-02-04,Yes
EMP00226,Finance,Junior,15,23.0,High School,109700.0,4.94,,Boston,2012-02-07,No
EMP00227,Legal,Lead,15,22.0,Associate,,3.36,0.0,Seattle,2012-02-10,No
EMP00228,Marketing,Junior,24,64.0,High School,103600.0,1.22,4.0,Boston,2012-02-14,Yes
EMP00229,Operations,Mid,9,,High School,129200.0,1.2,3.0,Seattle,2012-02-17,
EMP00230,Sales,Senior,8,58.0,PhD,102500.0,4.53,,  new york,2012-02-21,Yes
EMP00231,Marketing,Junior,10,26.0,Bachelor,21600.0,4.36,4.0,San Francisco,2012-02-24,No
EMP00232,HR,Senior,24,33.0,Associate,83100.0,2.38,4.0,New York,2012-02-27,Yes
EMP00233,Sales,Director,25,57.0,Bachelor,35800.0,3.47,1.0,New York,2012-03-02,No
EMP00234,HR,Junior,28,52.0,Bachelor,78800.0,2.96,4.0,Chicago,2012-03-05,No
EMP00235,Finance,Mid,25,59.0,Bachelor,77300.0,4.87,,  new york,2012-03-09,No
EMP00236,Engineering,Mid,3,30.0,High School,60400.0,4.8,4.0,New York,2012-03-12,No
EMP00237,Legal,Lead,9,47.0,Bachelor,49300.0,4.94,1.0,New York,2012-03-15,No
EMP00238,HR,Mid,2,36.0,Associate,61700.0,4.47,2.0,Austin,2012-03-19,No
EMP00239,Finance,Senior,5,37.0,High School,66600.0,4.64,,san francisco,2012-03-22,No
EMP00240,Marketing,Director,2,34.0,Associate,71700.0,1.87,2.0,San Francisco,2012-03-26,No
EMP00241,HR,Mid,26,46.0,High School,77600.0,4.32,,Boston,2012-03-29,No
EMP00242,Finance,Junior,8,51.0,Master,89600.0,3.84,5.0,san francisco,2012-04-02,No
EMP00243,Engineering,Mid,2,28.0,Master,67200.0,4.85,1.0,New York,2012-04-05,No
EMP00244,Legal,Director,17,25.0,Master,107000.0,3.29,5.0,Chicago,2012-04-08,No
EMP00245,HR,Senior,7,64.0,Master,74000.0,1.34,5.0,Boston,2012-04-12,No
EMP00246,Operations,Junior,21,61.0,High School,98100.0,3.39,4.0,Seattle,2012-04-15,No
EMP00247,Finance,Lead,7,59.0,Bachelor,67400.0,3.75,5.0,  new york,2012-04-19,
EMP00248,HR,Lead,14,51.0,PhD,143600.0,1.88,0.0,  new york,2012-04-22,No
EMP00249,Engineering,Lead,12,31.0,PhD,,2.58,,New York,2012-04-25,No
EMP00250,Legal,Junior,6,51.0,Master,115900.0,3.39,3.0,New York,2012-04-29,No
EMP00251,HR,Lead,18,60.0,Bachelor,57700.0,2.5,0.0,Boston,2012-05-02,No
EMP00252,HR,Mid,7,28.0,Associate,63800.0,2.5,0.0,san francisco,2012-05-06,No
EMP00253,Legal,Junior,9,57.0,Bachelor,-1000.0,1.53,4.0,Seattle,2012-05-09,No
EMP00254,Operations,Junior,16,56.0,Associate,136800.0,4.76,3.0,Austin,2012-05-12,No
EMP00255,Finance,Junior,0,45.0,PhD,69700.0,4.0,5.0,San Francisco,2012-05-16,No
EMP00256,Sales,Manager,12,60.0,Bachelor,54400.0,1.0,3.0,Austin,2012-05-19,No
EMP00257,Legal,Senior,28,57.0,Bachelor,107500.0,4.06,5.0,san francisco,2012-05-23,No
EMP00258,HR,Manager,25,41.0,PhD,76500.0,3.96,2.0,Chicago,2012-05-26,No
EMP00259,Sales,Manager,12,53.0,Bachelor,,1.04,1.0,Boston,2012-05-30,No
EMP00260,Marketing,Manager,23,60.0,Associate,59700.0,2.48,4.0,New York,2012-06-02,No
EMP00261,HR,Senior,15,47.0,Bachelor,87200.0,3.43,5.0,Austin,2012-06-05,No
EMP00262,Sales,Manager,28,47.0,Associate,101600.0,2.81,5.0,San Francisco,2012-06-09,
EMP00263,Marketing,Lead,8,57.0,Master,94700.0,4.11,3.0,Chicago,2012-06-12,
EMP00264,Operations,Junior,9,64.0,Bachelor,63000.0,2.7,4.0,  new york,2012-06-16,No
EMP00265,Finance,Junior,5,56.0,Associate,50300.0,1.62,,san francisco,2012-06-19,No
EMP00266,HR,Mid,4,64.0,PhD,-25500.0,4.91,5.0,Austin,2012-06-22,Yes
EMP00267,Finance,Director,1,56.0,Master,51400.0,1.97,2.0,New York,2012-06-26,No
EMP00268,Marketing,Lead,10,33.0,Bachelor,65700.0,3.87,0.0,San Francisco,2012-06-29,No
EMP00269,Finance,Senior,8,54.0,Associate,73500.0,,5.0,New York,2012-07-03,No
EMP00270,Finance,Director,5,57.0,Bachelor,68200.0,,3.0,New York,2012-07-06,No
EMP00271,Legal,Junior,7,35.0,Associate,145000.0,2.77,,Chicago,2012-07-09,No
EMP00272,Engineering,Manager,8,54.0,Bachelor,,1.77,2.0,San Francisco,2012-07-13,No
EMP00273,Marketing,Mid,8,45.0,Master,44100.0,2.8,4.0,Seattle,2012-07-16,No
EMP00274,Finance,Mid,7,,Master,91400.0,1.63,5.0,  new york,2012-07-20,Yes
EMP00275,Sales,Junior,11,52.0,Bachelor,84800.0,3.24,2.0,san francisco,2012-07-23,No
EMP00276,Marketing,Lead,25,38.0,Bachelor,48800.0,3.65,2.0,New York,2012-07-27,No
EMP00277,Engineering,Director,7,33.0,High School,,1.25,,san francisco,2012-07-30,No
EMP00278,HR,Mid,2,43.0,Bachelor,88300.0,4.48,2.0,San Francisco,2012-08-02,No
EMP00279,Operations,Junior,12,44.0,Bachelor,100600.0,1.74,2.0,New York,2012-08-06,No
EMP00280,Finance,Lead,18,47.0,Master,30600.0,1.9,,Austin,2012-08-09,Yes
